date,currency_code,rate
2002-02-15,EUR,3.6432
2002-02-15,XDR,5.2209
2002-02-18,AUD,2.1506
2002-02-18,ATS,0.2633
2002-02-18,BEF,0.089797
2002-02-18,CZK,0.1136
2002-02-18,DKK,0.4876
2002-02-18,EEK,0.2315
2002-02-18,FIM,0.6092
2002-02-18,EUR,3.6224
2002-02-18,GRD,0.010631
2002-02-18,ESP,0.021771
2002-02-18,EUR,3.6224
2002-02-18,EUR,3.6224
2002-02-18,JPY,0.031287
2002-02-18,CAD,2.6078
2002-02-18,LUF,0.089797
2002-02-18,NOK,0.4677
2002-02-18,PTE,0.018068
2002-02-18,EUR,3.6224
